frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
95,4.523810,near,,482.000,411.000,3.051727,9.926337,,,,,0,legacy
95,4.523810,far,,488.000,352.000,3.153395,7.477020,,,,,0,legacy
96,4.571429,near,,474.000,412.000,2.927436,9.963215,,,,,0,legacy
96,4.571429,far,,487.000,349.000,3.136262,7.336200,,,,,0,legacy
97,4.619048,near,,453.000,416.000,2.604567,10.109367,,,,,0,legacy
97,4.619048,far,,485.000,346.000,3.101192,7.193588,,,,,0,legacy
98,4.666667,near,,441.000,430.000,2.436048,10.604317,,,,,0,legacy
98,4.666667,far,,487.000,346.000,3.136630,7.193588,,,,,0,legacy
99,4.714286,near,,429.000,433.000,2.260002,10.707148,,,,,0,legacy
99,4.714286,far,,491.000,342.000,3.208610,7.000590,,,,,0,legacy
100,4.761905,near,,416.000,445.000,2.086859,11.107656,,,,,0,legacy
100,4.761905,far,,484.000,349.000,3.083441,7.336200,,,,,0,legacy
101,4.809524,near,,404.000,456.000,1.933227,11.460264,,,,,0,legacy
101,4.809524,far,,484.000,352.000,3.083410,7.477020,,,,,0,legacy
102,4.857143,near,,387.000,467.000,1.714802,11.799776,,,,,0,legacy
102,4.857143,far,,490.000,346.000,3.189787,7.193588,,,,,0,legacy
103,4.904762,near,,380.000,479.000,1.645143,12.156057,,,,,0,legacy
103,4.904762,far,,510.000,346.000,3.544167,7.193588,,,,,0,legacy
104,4.952381,near,,374.000,479.000,1.562226,12.156057,,,,,0,legacy
104,4.952381,far,,486.000,349.000,3.118655,7.336200,,,,,0,legacy
105,5.000000,near,,373.000,479.000,1.548406,12.156057,,,,,0,legacy
105,5.000000,far,,491.000,347.000,3.207233,7.241326,,,,,0,legacy
106,5.047619,near,,373.000,478.000,1.545870,12.126908,,,,,0,legacy
106,5.047619,far,,492.000,348.000,3.224605,7.288863,,,,,0,legacy
107,5.095238,near,,381.000,479.000,1.658963,12.156057,,,,,0,legacy
107,5.095238,far,,492.000,348.000,3.224605,7.288863,,,,,0,legacy
108,5.142857,near,,387.000,475.000,1.732975,12.038879,,,,,0,legacy
108,5.142857,far,,492.000,348.000,3.224605,7.288863,,,,,0,legacy
109,5.190476,near,,388.000,467.000,1.728902,11.799776,,,,,0,legacy
109,5.190476,far,,492.000,348.000,3.224605,7.288863,,,,,0,legacy
110,5.238095,near,,393.000,457.000,1.777435,11.491659,,,,,0,legacy
110,5.238095,far,,494.000,348.000,3.259893,7.288863,,,,,0,legacy
111,5.285714,near,,404.000,460.000,1.941053,11.585199,,,,,0,legacy
111,5.285714,far,,494.000,349.000,3.259511,7.336200,,,,,0,legacy
112,5.333333,near,,423.000,467.000,2.222386,11.799776,,,,,0,legacy
112,5.333333,far,,494.000,348.000,3.259893,7.288863,,,,,0,legacy
113,5.380952,near,,431.000,464.000,2.331398,11.708439,,,,,0,legacy
113,5.380952,far,,535.000,347.000,3.985219,7.241326,,,,,0,legacy
114,5.428571,near,,437.000,464.000,2.416426,11.708439,,,,,0,legacy
114,5.428571,far,,528.000,349.000,3.858147,7.336200,,,,,0,legacy
115,5.476190,near,,454.000,459.000,2.653735,11.554126,,,,,0,legacy
115,5.476190,far,,528.000,346.000,3.863110,7.193588,,,,,0,legacy
116,5.523810,near,,464.000,446.000,2.790248,11.140273,,,,,0,legacy
116,5.523810,far,,528.000,346.000,3.863110,7.193588,,,,,0,legacy
117,5.571429,near,,475.000,447.000,2.951266,11.172775,,,,,0,legacy
117,5.571429,far,,531.000,345.000,3.918048,7.145646,,,,,0,legacy
118,5.619048,near,,493.000,440.000,3.215603,10.942844,,,,,0,legacy
118,5.619048,far,,542.000,344.000,4.115576,7.097500,,,,,0,legacy
119,5.666667,near,,504.000,444.000,3.376000,11.074926,,,,,0,legacy
119,5.666667,far,,550.000,344.000,4.257933,7.097500,,,,,0,legacy
120,5.714286,near,,515.000,429.000,3.549776,10.569792,,,,,0,legacy
120,5.714286,far,,557.000,343.000,4.385278,7.049148,,,,,0,legacy
121,5.761905,near,,526.000,432.000,3.712074,10.672994,,,,,0,legacy
121,5.761905,far,,564.000,342.000,4.513169,7.000590,,,,,0,legacy
122,5.809524,near,,535.000,430.000,3.849706,10.604317,,,,,0,legacy
122,5.809524,far,,569.000,342.000,4.602523,7.000590,,,,,0,legacy
123,5.857143,near,,547.000,430.000,4.030173,10.604317,,,,,0,legacy
123,5.857143,far,,539.000,346.000,4.058019,7.193588,,,,,0,legacy
124,5.904762,near,,555.000,429.000,4.152418,10.569792,,,,,0,legacy
124,5.904762,far,,537.000,347.000,4.020582,7.241326,,,,,0,legacy
125,5.952381,near,,561.000,430.000,4.240718,10.604317,,,,,0,legacy
125,5.952381,far,,538.000,348.000,4.036236,7.288863,,,,,0,legacy
126,6.000000,near,,577.000,425.000,4.494085,10.430439,,,,,0,legacy
126,6.000000,far,,536.000,349.000,3.999003,7.336200,,,,,0,legacy
127,6.047619,near,,585.000,422.000,4.623914,10.324588,,,,,0,legacy
127,6.047619,far,,535.000,351.000,3.977605,7.430277,,,,,0,legacy
128,6.095238,near,,593.000,417.000,4.761356,10.145567,,,,,0,legacy
128,6.095238,far,,532.000,349.000,3.928575,7.336200,,,,,0,legacy
129,6.142857,near,,598.000,419.000,4.831887,10.217570,,,,,0,legacy
129,6.142857,far,,530.000,350.000,3.891647,7.383337,,,,,0,legacy
130,6.190476,near,,602.000,416.000,4.903316,10.109367,,,,,0,legacy
130,6.190476,far,,530.000,351.000,3.889940,7.430277,,,,,0,legacy
131,6.238095,near,,605.000,410.000,4.970570,9.889320,,,,,0,legacy
131,6.238095,far,,528.000,349.000,3.858147,7.336200,,,,,0,legacy
132,6.285714,near,,610.000,406.000,5.063404,9.739862,,,,,0,legacy
132,6.285714,far,,528.000,349.000,3.858147,7.336200,,,,,0,legacy
133,6.333333,near,,625.000,407.000,5.295005,9.777437,,,,,0,legacy
133,6.333333,far,,529.000,348.000,3.877439,7.288863,,,,,0,legacy
134,6.380952,near,,630.000,406.000,5.377768,9.739862,,,,,0,legacy
134,6.380952,far,,528.000,347.000,3.861449,7.241326,,,,,0,legacy
135,6.428571,near,,634.000,404.000,5.449565,9.664286,,,,,0,legacy
135,6.428571,far,,528.000,348.000,3.859794,7.288863,,,,,0,legacy
136,6.476190,near,,623.000,467.000,5.042294,11.799776,,,,,0,legacy
136,6.476190,far,,514.000,353.000,3.607192,7.523567,,,,,0,legacy
137,6.523810,near,,628.000,479.000,5.072399,12.156057,,,,,0,legacy
137,6.523810,far,,512.000,352.000,3.573307,7.477020,,,,,0,legacy
138,6.571429,near,,636.000,488.000,5.152076,12.414119,,,,,0,legacy
138,6.571429,far,,512.000,352.000,3.573307,7.477020,,,,,0,legacy
139,6.619048,near,,639.000,490.000,5.186054,12.470441,,,,,0,legacy
139,6.619048,far,,510.000,352.000,3.538314,7.477020,,,,,0,legacy
140,6.666667,near,,639.000,489.000,5.189484,12.442326,,,,,0,legacy
140,6.666667,far,,509.000,350.000,3.522679,7.383337,,,,,0,legacy
141,6.714286,near,,640.000,492.000,5.192755,12.526398,,,,,0,legacy
141,6.714286,far,,507.000,351.000,3.486680,7.430277,,,,,0,legacy
142,6.761905,near,,662.000,486.000,5.514054,12.357428,,,,,0,legacy
142,6.761905,far,,506.000,354.000,3.466702,7.569920,,,,,0,legacy
143,6.809524,near,,654.000,479.000,5.431708,12.156057,,,,,0,legacy
143,6.809524,far,,506.000,351.000,3.469147,7.430277,,,,,0,legacy
144,6.857143,near,,666.000,438.000,5.780875,10.876100,,,,,0,legacy
144,6.857143,far,,502.000,350.000,3.399689,7.383337,,,,,0,legacy
145,6.904762,near,,676.000,437.000,5.934198,10.842550,,,,,0,legacy
145,6.904762,far,,500.000,350.000,3.364550,7.383337,,,,,0,legacy
146,6.952381,near,,670.000,429.000,5.885013,10.569792,,,,,0,legacy
146,6.952381,far,,500.000,349.000,3.365153,7.336200,,,,,0,legacy
147,7.000000,near,,678.000,429.000,6.005542,10.569792,,,,,0,legacy
147,7.000000,far,,500.000,350.000,3.364550,7.383337,,,,,0,legacy
148,7.047619,near,,680.000,427.000,6.046381,10.500368,,,,,0,legacy
148,7.047619,far,,500.000,350.000,3.364550,7.383337,,,,,0,legacy
149,7.095238,near,,678.000,423.000,6.037569,10.360001,,,,,0,legacy
149,7.095238,far,,499.000,345.000,3.349834,7.145646,,,,,0,legacy
150,7.142857,near,,677.000,427.000,6.001019,10.500368,,,,,0,legacy
150,7.142857,far,,501.000,344.000,3.386001,7.097500,,,,,0,legacy
151,7.190476,near,,680.000,429.000,6.035674,10.569792,,,,,0,legacy
151,7.190476,far,,499.000,347.000,3.348685,7.241326,,,,,0,legacy
152,7.238095,near,,675.000,423.000,5.991876,10.360001,,,,,0,legacy
152,7.238095,far,,503.000,343.000,3.422322,7.049148,,,,,0,legacy
153,7.285714,near,,675.000,428.000,5.965551,10.535143,,,,,0,legacy
153,7.285714,far,,498.000,350.000,3.329410,7.383337,,,,,0,legacy
154,7.333333,near,,675.000,491.000,5.670453,12.498465,,,,,0,legacy
154,7.333333,far,,499.000,353.000,3.345296,7.523567,,,,,0,legacy
155,7.380952,near,,678.000,481.000,5.754522,12.214066,,,,,0,legacy
155,7.380952,far,,500.000,352.000,3.363351,7.477020,,,,,0,legacy
156,7.428571,near,,682.000,517.000,5.656555,13.196460,,,,,0,legacy
156,7.428571,far,,499.000,351.000,3.346416,7.430277,,,,,0,legacy
157,7.476190,near,,688.000,517.000,5.734567,13.196460,,,,,0,legacy
157,7.476190,far,,501.000,352.000,3.380847,7.477020,,,,,0,legacy
158,7.523810,near,,686.000,515.000,5.716777,13.144781,,,,,0,legacy
158,7.523810,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
159,7.571429,near,,690.000,512.000,5.781612,13.066653,,,,,0,legacy
159,7.571429,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
160,7.619048,near,,695.000,488.000,5.955467,12.414119,,,,,0,legacy
160,7.619048,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
161,7.666667,near,,691.000,488.000,5.901000,12.414119,,,,,0,legacy
161,7.666667,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
162,7.714286,near,,687.000,478.000,5.892410,12.126908,,,,,0,legacy
162,7.714286,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
163,7.761905,near,,681.000,479.000,5.804836,12.156057,,,,,0,legacy
163,7.761905,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
164,7.809524,near,,674.000,478.000,5.712458,12.126908,,,,,0,legacy
164,7.809524,far,,503.000,350.000,3.417259,7.383337,,,,,0,legacy
165,7.857143,near,,662.000,473.000,5.566970,11.979703,,,,,0,legacy
165,7.857143,far,,534.000,348.000,3.965659,7.288863,,,,,0,legacy
166,7.904762,near,,658.000,466.000,5.539933,11.769433,,,,,0,legacy
166,7.904762,far,,540.000,347.000,4.073627,7.241326,,,,,0,legacy
167,7.952381,near,,652.000,454.000,5.504421,11.397150,,,,,0,legacy
167,7.952381,far,,543.000,349.000,4.122252,7.336200,,,,,0,legacy
168,8.000000,near,,646.000,448.000,5.442407,11.205164,,,,,0,legacy
168,8.000000,far,,546.000,350.000,4.172766,7.383337,,,,,0,legacy
169,8.047619,near,,642.000,438.000,5.425067,10.876100,,,,,0,legacy
169,8.047619,far,,547.000,350.000,4.190336,7.383337,,,,,0,legacy
170,8.095238,near,,638.000,423.000,5.428333,10.360001,,,,,0,legacy
170,8.095238,far,,549.000,350.000,4.225476,7.383337,,,,,0,legacy
171,8.142857,near,,635.000,432.000,5.345434,10.672994,,,,,0,legacy
171,8.142857,far,,549.000,350.000,4.225476,7.383337,,,,,0,legacy
172,8.190476,near,,635.000,436.000,5.329280,10.808880,,,,,0,legacy
172,8.190476,far,,550.000,350.000,4.243045,7.383337,,,,,0,legacy
173,8.238095,near,,633.000,436.000,5.299524,10.808880,,,,,0,legacy
173,8.238095,far,,550.000,350.000,4.243045,7.383337,,,,,0,legacy
174,8.285714,near,,632.000,435.000,5.288583,10.775091,,,,,0,legacy
174,8.285714,far,,550.000,350.000,4.243045,7.383337,,,,,0,legacy
175,8.333333,near,,633.000,427.000,5.335713,10.500368,,,,,0,legacy
175,8.333333,far,,552.000,349.000,4.280714,7.336200,,,,,0,legacy
176,8.380952,near,,634.000,422.000,5.371591,10.324588,,,,,0,legacy
176,8.380952,far,,553.000,349.000,4.298321,7.336200,,,,,0,legacy
177,8.428571,near,,635.000,419.000,5.399572,10.217570,,,,,0,legacy
177,8.428571,far,,554.000,348.000,4.318543,7.288863,,,,,0,legacy
178,8.476190,near,,636.000,417.000,5.423530,10.145567,,,,,0,legacy
178,8.476190,far,,553.000,348.000,4.300898,7.288863,,,,,0,legacy
