frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
119,5.666667,near,3.817000,15.769000,15.769000,3.817000
119,5.666667,far,2.520000,11.397000,11.397000,2.520000
120,5.714286,near,3.519000,15.769000,15.769000,3.519000
120,5.714286,far,2.441000,11.533000,11.533000,2.441000
121,5.761905,near,3.202000,15.961000,15.961000,3.202000
121,5.761905,far,2.421000,11.670000,11.670000,2.421000
122,5.809524,near,3.740000,16.115000,16.115000,3.740000
122,5.809524,far,2.733000,11.759000,11.759000,2.733000
123,5.857143,near,3.797000,16.295000,16.295000,3.797000
123,5.857143,far,2.478000,11.759000,11.759000,2.478000
124,5.904762,near,3.015000,16.422000,16.422000,3.015000
124,5.904762,far,1.979000,11.820000,11.820000,1.979000
125,5.952381,near,2.620000,16.517000,16.517000,2.620000
125,5.952381,far,1.656000,11.870000,11.870000,1.656000
126,6.000000,near,3.695000,16.824000,16.824000,3.695000
126,6.000000,far,1.390000,11.930000,11.930000,1.390000
127,6.047619,near,3.608000,16.992000,16.992000,3.608000
127,6.047619,far,1.249000,12.026000,12.026000,1.249000
128,6.095238,near,3.860000,17.218000,17.218000,3.860000
128,6.095238,far,1.307000,12.132000,12.132000,1.307000
129,6.142857,near,3.581000,17.318000,17.318000,3.581000
129,6.142857,far,1.517000,12.192000,12.192000,1.517000
130,6.190476,near,3.590000,17.448000,17.448000,3.590000
130,6.190476,far,1.469000,12.239000,12.239000,1.469000
131,6.238095,near,4.064000,17.678000,17.678000,4.064000
131,6.238095,far,1.641000,12.339000,12.339000,1.641000
132,6.285714,near,3.604000,17.854000,17.854000,3.604000
132,6.285714,far,1.431000,12.339000,12.339000,1.431000
133,6.333333,near,3.839000,18.089000,18.089000,3.839000
133,6.333333,far,1.272000,12.390000,12.390000,1.272000
134,6.380952,near,3.367000,18.180000,18.180000,3.367000
134,6.380952,far,1.076000,12.440000,12.440000,1.076000
135,6.428571,near,3.379000,18.284000,18.284000,3.379000
135,6.428571,far,1.033000,12.487000,12.487000,1.033000
136,6.476190,near,2.925000,18.284000,18.284000,2.925000
136,6.476190,far,2.075000,12.832000,12.832000,2.075000
137,6.523810,near,3.371000,18.641000,18.641000,3.371000
137,6.523810,far,1.929000,12.890000,12.890000,1.929000
138,6.571429,near,3.701000,18.912000,18.912000,3.701000
138,6.571429,far,1.929000,12.890000,12.890000,1.929000
139,6.619048,near,3.110000,18.977000,18.977000,3.110000
139,6.619048,far,1.873000,12.925000,12.925000,1.873000
140,6.666667,near,2.891000,19.006000,19.006000,2.891000
140,6.666667,far,2.030000,13.020000,13.020000,2.030000
141,6.714286,near,2.821000,19.090000,19.090000,2.821000
141,6.714286,far,2.070000,13.079000,13.079000,2.070000
142,6.761905,near,4.091000,19.453000,19.453000,4.091000
142,6.761905,far,1.357000,13.220000,13.220000,1.357000
143,6.809524,near,3.601000,19.670000,19.670000,3.601000
143,6.809524,far,1.644000,13.360000,13.360000,1.644000
144,6.857143,near,2.656000,19.670000,19.670000,2.656000
144,6.857143,far,1.938000,13.443000,13.443000,1.938000
145,6.904762,near,2.975000,19.827000,19.827000,2.975000
145,6.904762,far,1.938000,13.479000,13.479000,1.938000
146,6.952381,near,3.846000,20.104000,20.104000,3.846000
146,6.952381,far,1.771000,13.526000,13.526000,1.771000
147,7.000000,near,3.973000,20.225000,20.225000,3.973000
147,7.000000,far,1.729000,13.573000,13.573000,1.729000
148,7.047619,near,2.985000,20.306000,20.306000,2.985000
148,7.047619,far,1.235000,13.573000,13.573000,1.235000
149,7.095238,near,2.715000,20.446000,20.446000,2.715000
149,7.095238,far,1.580000,13.811000,13.811000,1.580000
150,7.142857,near,3.223000,20.591000,20.591000,3.223000
150,7.142857,far,1.497000,13.871000,13.871000,1.497000
151,7.190476,near,2.945000,20.669000,20.669000,2.945000
151,7.190476,far,1.894000,14.020000,14.020000,1.894000
152,7.238095,near,2.725000,20.883000,20.883000,2.725000
152,7.238095,far,2.450000,14.226000,14.226000,2.450000
153,7.285714,near,2.923000,21.060000,21.060000,2.923000
153,7.285714,far,3.499000,14.573000,14.573000,3.499000
154,7.333333,near,2.641000,21.060000,21.060000,2.641000
154,7.333333,far,3.993000,14.714000,14.714000,3.993000
155,7.380952,near,3.187000,21.357000,21.357000,3.187000
155,7.380952,far,3.334000,14.764000,14.764000,3.334000
156,7.428571,near,2.680000,21.357000,21.357000,2.680000
156,7.428571,far,3.297000,14.813000,14.813000,3.297000
157,7.476190,near,2.681000,21.435000,21.435000,2.681000
157,7.476190,far,2.980000,14.871000,14.871000,2.980000
158,7.523810,near,2.122000,21.489000,21.489000,2.122000
158,7.523810,far,2.612000,14.972000,14.972000,2.612000
159,7.571429,near,1.858000,21.591000,21.591000,1.858000
159,7.571429,far,1.398000,14.972000,14.972000,1.398000
