frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
137,6.523810,far,1,631.000,479.000,4.255688,0.000000,580.260,300.281,668.220,490.795,0.899474,detected
138,6.571429,near,,,,,,,,,,0.000000,missing
138,6.571429,far,1,637.000,492.000,4.230944,0.000000,584.854,308.836,675.326,503.414,0.881307,detected
139,6.619048,near,,,,,,,,,,0.000000,missing
139,6.619048,far,1,641.000,492.000,4.263221,0.000000,588.507,314.120,679.852,509.406,0.901062,detected
140,6.666667,near,,,,,,,,,,0.000000,missing
140,6.666667,far,1,638.000,490.000,4.250220,0.000000,588.645,311.856,682.264,511.418,0.894050,detected
141,6.714286,near,,,,,,,,,,0.000000,missing
141,6.714286,far,1,641.000,489.000,4.280432,0.000000,588.611,300.876,686.589,512.268,0.889195,detected
142,6.761905,near,,,,,,,,,,0.000000,missing
142,6.761905,far,1,655.000,492.000,4.376102,0.000000,593.115,287.552,694.059,512.682,0.868981,detected
143,6.809524,near,,,,,,,,,,0.000000,missing
143,6.809524,far,1,653.000,485.000,4.403980,0.000000,596.038,276.188,696.687,511.401,0.858417,detected
144,6.857143,near,,,,,,,,,,0.000000,missing
144,6.857143,far,1,668.000,441.000,4.917917,1.598439,609.869,266.718,704.907,495.434,0.845513,detected
145,6.904762,near,,,,,,,,,,0.000000,missing
145,6.904762,far,1,678.000,436.000,5.081932,1.930079,619.486,262.595,707.840,477.014,0.891549,detected
146,6.952381,near,,,,,,,,,,0.000000,missing
146,6.952381,far,1,679.000,432.000,5.143626,2.212532,627.184,261.087,711.203,463.825,0.899145,detected
147,7.000000,near,,,,,,,,,,0.000000,missing
147,7.000000,far,1,680.000,432.000,5.154566,2.212116,634.500,261.000,716.518,455.785,0.903128,detected
148,7.047619,near,,,,,,,,,,0.000000,missing
148,7.047619,far,1,679.000,431.000,5.156769,2.285404,637.482,261.000,719.573,450.951,0.908910,detected
149,7.095238,near,,,,,,,,,,0.000000,missing
149,7.095238,far,1,677.000,426.000,5.202266,2.664475,636.775,261.050,722.329,448.301,0.932841,detected
150,7.142857,near,,,,,,,,,,0.000000,missing
150,7.142857,far,1,681.000,425.000,5.261967,2.741133,633.987,261.537,726.120,449.886,0.926068,detected
151,7.190476,near,,,,,,,,,,0.000000,missing
151,7.190476,far,1,681.000,432.000,5.165505,2.211700,629.158,261.000,732.222,458.299,0.934574,detected
152,7.238095,near,,,,,,,,,,0.000000,missing
152,7.238095,far,1,685.000,443.000,5.070496,1.463636,623.239,261.141,739.355,471.693,0.934732,detected
153,7.285714,near,,,,,,,,,,0.000000,missing
153,7.285714,far,1,683.000,455.000,4.918474,0.749792,617.350,262.251,746.654,487.079,0.930571,detected
154,7.333333,near,,,,,,,,,,0.000000,missing
154,7.333333,far,1,679.000,499.000,4.521684,0.000000,611.323,276.864,751.734,514.347,0.925116,detected
155,7.380952,near,,,,,,,,,,0.000000,missing
155,7.380952,far,1,681.000,512.000,4.455264,0.000000,611.662,293.206,754.852,529.213,0.941351,detected
156,7.428571,near,,,,,,,,,,0.000000,missing
156,7.428571,far,1,685.000,516.000,4.460827,0.000000,616.669,308.102,757.701,535.621,0.932512,detected
157,7.476190,near,,,,,,,,,,0.000000,missing
157,7.476190,far,1,689.000,518.000,4.477959,0.000000,620.719,316.368,760.427,538.180,0.935681,detected
158,7.523810,near,,,,,,,,,,0.000000,missing
158,7.523810,far,1,689.000,518.000,4.477959,0.000000,622.891,324.249,760.584,538.835,0.937666,detected
159,7.571429,near,,,,,,,,,,0.000000,missing
159,7.571429,far,1,692.000,514.000,4.523990,0.000000,625.117,325.305,763.577,538.221,0.933092,detected
160,7.619048,near,,,,,,,,,,0.000000,missing
160,7.619048,far,1,696.000,498.000,4.661394,0.000000,629.205,318.166,767.752,531.300,0.928782,detected
161,7.666667,near,,,,,,,,,,0.000000,missing
161,7.666667,far,1,696.000,484.000,4.769096,0.000000,628.872,313.474,764.068,522.125,0.906327,detected
162,7.714286,near,,,,,,,,,,0.000000,missing
162,7.714286,far,1,689.000,477.000,4.768128,0.000000,624.289,312.175,749.146,506.420,0.924990,detected
163,7.761905,near,,,,,,,,,,0.000000,missing
163,7.761905,far,1,680.000,479.000,4.674621,0.000000,617.926,311.384,736.746,499.118,0.926383,detected
164,7.809524,near,,,,,,,,,,0.000000,missing
164,7.809524,far,1,673.000,479.000,4.614887,0.000000,611.298,308.919,726.660,496.229,0.917370,detected
165,7.857143,near,,,,,,,,,,0.000000,missing
165,7.857143,far,1,662.000,472.000,4.573231,0.000000,609.460,301.440,722.645,492.310,0.915267,detected
166,7.904762,near,,,,,,,,,,0.000000,missing
166,7.904762,far,1,656.000,465.000,4.574339,0.227404,607.902,291.857,720.561,489.804,0.912061,detected
167,7.952381,near,,,,,,,,,,0.000000,missing
167,7.952381,far,1,651.000,456.000,4.601917,0.703520,607.736,284.594,716.260,483.683,0.897357,detected
168,8.000000,near,,,,,,,,,,0.000000,missing
168,8.000000,far,1,646.000,446.000,4.641470,1.289052,608.926,280.995,710.475,474.874,0.890749,detected
169,8.047619,near,,,,,,,,,,0.000000,missing
169,8.047619,far,1,644.000,436.000,4.717935,1.943374,609.682,280.237,703.370,465.937,0.873884,detected
170,8.095238,near,,,,,,,,,,0.000000,missing
170,8.095238,far,1,638.000,429.000,4.725629,2.451818,608.494,283.087,692.790,454.642,0.911629,detected
171,8.142857,near,,,,,,,,,,0.000000,missing
171,8.142857,far,1,632.000,434.000,4.608334,2.088402,606.622,283.990,686.285,449.967,0.904390,detected
172,8.190476,near,,,,,,,,,,0.000000,missing
